,screen_name,description,is_science,is_farmer,is_political,is_business,is_media,is_training,is_nonprofit,is_food,is_medical,is_internationalagency,is_nature,is_other,NOTES
43,RenukaJain6,"FCA, CS. Financial & Tax Advisor, Portfolio Management. favorite moments Sky diving in Munich & Bungy in Cairns. Blessed to be followed by respected PM 🙏",,,,,,,,,,,,,
44,BJP4Bengal,Official Twitter handle of BJP West Bengal (BJPBengal),,,1,,,,,,,,,,
45,Stanford,Stanford is one of the world's leading research and teaching institutions. Official Twitter feed by University Communications.,1,,,,,,,,,,,,
46,BhupendraSinh1,"Cabinet Minister of Education, Higher & Technical Education, Law & Justice, Legislative & Parliamentary Affairs, Salt Industry, Cow Breeding and Civil Aviation.",,,1,,,,,,,,,,
47,VdsrBjpit,வேடசந்தூர் தொகுதி பா.ஜ.க தகவல் தொழில்நுட்ப பிரிவு,,,1,,,,,,,,,,
48,BKRichey,Golf Course Superintendent - Lake Nona Golf and Country Club,,,,,,,,,,,,,
49,PMuralidharRao,"National General Secretary, BJP. Working towards Empowering India & uplifting the poor.",,,1,,,,,,,,,,
50,ANI,"Asian News International.Multi-media news agency,content for information platforms:TV,Internet,broadband,newspapers,mobiles https://t.co/8qaMJ9LH",,,,,1,,,,,,,,
51,jhaprabhatbjp,| Nationalist | BJP Karyakarta | Rajya Sabha MP | National Vice President BJP | Incharge BJP Punjab | Incharge BJP Chandigarh,,,,,,,,,,,,,
52,CimGOI,"Official Account of the Office of Minister of Commerce and Industry, Government of India",,,1,,,,,,,,,,
53,JAINAM_2017,"जब भी मैं बुरे हालातो से घबराता हूँ,
तब मेरे महादेव की आवाज आती है, रूक मैं अभी आता हूँ ।
🙏🙏 
हर हर महादेव  🙏🙏🙏",,,,,,,,,,,,1,no clear affiliation 
54,SuPriyoBabul,"HumanByNature😀SingerByHeart🥳ExBanker💰MoS Environment,Forest & Climate Change• GovtOfINDIA•ThinSkinned-FindUnfairTrollingHard2Deal With•AmNotAlwaysRight🤩",,,1,,,,,,,,,,
55,DeanDjackson,"CIH ag machinery sales consultant for Stoltz Sales & Service, from lawnmowers to combines we have them all",,,,1,,,,,,,,,
56,EdwinTaylor69,"South Northumerland Farmer, Dedicated no tiller and growing cover crops to improve soil health.",,1,,,,,,,,,,,
57,MaheishGirri,"राष्ट्रीय मंत्री, भाजपा | National Secretary, BJP | https://t.co/BAIxf9PcD2 | https://t.co/7Eeq5tp85K |",,,1,,,,,,,,,,
58,RepBost,"Member of Congress proudly representing IL-12. Serving on @TransportGOP, @HouseAgGOP, and @HouseVetAffairs Committees. Find me on FB at https://t.co/cjWY9Itiyr",,,1,,,,,,,,,,
59,bug_gwen,I'm a bug AND a feature! I do insect education & write about science. Founder of @ento_allies. Tweets personal/do not represent employers etc 🐝 she/her/PhD,,,,,1,,,,,,,,
60,getfiscal,Co-host of @youcantwinpod •,,,,,,,,,,,,1,"his tweet that we picked up was about Bernie Sanders being old and, if elected, only being able to promote 'soil quality'"
61,RathWayne,"Golf Course Superintendent - Aurora, Ontario",,,,1,,,,,,,,,
62,BJPLive,The Internet TV initiative by the BJP.,,,1,,1,,,,,,,,
63,UNEnvironment,Official account of the United Nations Environment Programme. 🌏🌍🌎,,,,,,,,,,1,,,
64,DaniNierenberg,"@FoodTank co-founder & President. Host of the ""Food Talk with Dani Nierenberg"" podcast (LINK BELOW). Insta: @FoodTank.",,,,,,,1,1,,,,,
65,Bovidiva,Livestock sustainability consultant. Animal scientist. Breast cancer patient. Mum. 2018 Farmers Guardian Farming Hero. Dairy Industry Woman of the Year 2017.,1,,,,,1,,,,,,,
66,KailashOnline,"National General Secretary of #BJP, Active Worker & a Proud Indian who continuously strives for development.",,,1,,,,,,,,,,
67,doctorsensation,"medical doctor,biohacker. plantbased ketogenic nutrition. Wimhofmethod instructor. Co-producer“Bought”the movie",1,,,,,,,,,,,,
68,AhlawatMp,"EX-Member of Parliament(Lok Sabha) from Jhunjhunu, Rajasthan, India",,,1,,,,,,,,,,
69,nheptulla,"Governor of Manipur, Former Union Minister of Minority Affairs, Honorary Life President of IPU, Former Deputy Chairman Rajya Sabha",,,1,,,,,,,,,,
70,sunitanar,"Editor, Down To Earth and Director, CSE, Environmentalist",,,,,1,,,,,,,,
71,RobMitchellMLA,MLA for Charlottetown - Winsloe & Leader of the Prince Edward Island Liberal Party,,,1,,,,,,,,,,
72,namelus_,"In hindsight, my search for an anagram of my name has left me namelus.",,,,,,,,,,,,,
73,raythesoilguy1,Soil Health Specialist: Teaching Agroecology principles and Biomimicry/Ecomimcry concepts to reduce man made inputs on soil ecosystems.,,,,,,1,,,,,,,
74,smouse_lillee,Organic gardener.I grow  almost everything.Plants and animals talk to me. Wild horse /animal advocate.Rattlesnake relocation specialist.,,1,,,,,,,,,,,
75,BJP4JnK,"Official Twitter Account of Bharatiya Janata Party, Jammu & Kashmir | Join BJP@ https://t.co/84RHmlpJTF",,,1,,,,,,,,,,
76,ONGC_,"Welcome to the official twitter handle of Oil and Natural Gas Corporation Limited (ONGC), one of the world's largest oil & gas exploration & production company",,,,1,,,,,,,,,
77,pid_gov,"The Official twitter account of Pakistan Government. Your very first stop for the very latest policy announcements, Information & News on Pakistan",,,1,,,,,,,,,,
78,n8doremus,"Farmer in east/central Nebraska, father of 3, husband to Amy, Channel Seedsman.",,1,,,,,,,,,,,
79,AnikaMolesworth,"Young Farmer of the Year, MSc Sustainable Ag & PhD international agricultural researcher. Passion for #agriculture #farming #climate #environment #renewables",1,1,,,,,,,,,,,
80,NamoApp,"Official App of PM of India, Narendra Modi. It brings to you latest information, instant updates & helps you contribute towards various tasks",,,1,,,,,,,,,,
81,CTRavi_BJP,"ಹೆಮ್ಮೆಯ ಕನ್ನಡಿಗ;
ಪ್ರಧಾನ ಕಾರ್ಯದರ್ಶಿ- ಬಿಜೆಪಿ ಕರ್ನಾಟಕ; ಶಾಸಕರು - ಚಿಕ್ಕಮಗಳೂರು.

Proud Kannadiga; General Secretary, BJP; 
MLA - Chikkamagaluru; Former Minister.",,,1,,,,,,,,,,
82,Ng_lab,"We work at the intersection of chemistry, biology and engineering, building models to investigate human-environment interactions.",1,,,,,,,,,,,,
