"","screen_name","is_science","is_farmer","is_political","is_business","is_media","is_training","is_nonprofit","is_food","is_medical","is_internationalagency","is_nature","is_other"
"70","sunitanar",NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"71","RobMitchellMLA",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","namelus_",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","raythesoilguy1",NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"74","smouse_lillee",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","BJP4JnK",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","ONGC_",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"77","pid_gov",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","n8doremus",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","AnikaMolesworth",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","NamoApp",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","CTRavi_BJP",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Ng_lab",1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","CharCunningham",NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"84","USAIDAfghan",NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA
"85","BJP4Jharkhand",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","singshobhasing",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA
"87","PAllenSmith",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA
"88","japantimes_life",NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"89","JonathanPembs",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA
"90","FructoseNo",NA,NA,1,NA,1,NA,NA,1,1,NA,NA,NA
"91","mahesh10816",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","WildlifeTrusts",NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA
"93","rkmbelurmath",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","msswaminathan",1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","MGigger",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","LEMVet",1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","sanjeevkumarbso",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","DFarms001",NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"99","will_brinton",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","MMehlhaf",NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA
